"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, AEROSPACE','ENGINEERING, MECHANICAL','MECHANICS','NUCLEAR SCIENCE & TECHNOLOGY','THERMODYNAMICS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
223,JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING-TRANSACTIONS OF THE ASME,"1,579",1.133,0.001650,0.362
224,International Journal of Aerospace Engineering,450,1.131,0.000910,0.241
225,International Journal of Exergy,624,1.130,0.000630,0.154
226,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART E-JOURNAL OF PROCESS MECHANICAL ENGINEERING,565,1.126,0.000670,0.214
227,Latin American Journal of Solids and Structures,976,1.125,0.002030,0.252
228,JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,"1,410",1.115,0.001010,0.329
228,Journal of Thermal Science and Engineering Applications,633,1.115,0.001490,0.343
230,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART G-JOURNAL OF AEROSPACE ENGINEERING,"1,921",1.104,0.003440,0.275
231,Science and Technology of Nuclear Installations,553,1.082,0.001310,0.300
232,NUCLEAR SCIENCE AND ENGINEERING,"2,595",1.060,0.002530,0.438
233,International Journal of Low-Carbon Technologies,545,1.054,0.000780,Not Available
234,Mechanical Sciences,265,1.052,0.000640,0.383
235,JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,"2,455",1.051,0.001520,0.251
236,International Journal of Micro Air Vehicles,238,1.049,0.000610,0.443
237,INDUSTRIAL LUBRICATION AND TRIBOLOGY,839,1.037,0.000800,0.140
238,INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION,821,1.033,0.000620,0.210
239,Advances in Mechanical Engineering,"3,662",1.024,0.007820,0.199
240,JOURNAL OF SPACECRAFT AND ROCKETS,"3,720",1.016,0.003400,0.366
241,FLUID DYNAMICS RESEARCH,"1,496",0.993,0.001500,0.327
241,HEALTH PHYSICS,"4,295",0.993,0.002340,0.252
243,Frontiers of Mechanical Engineering,625,0.989,0.001090,Not Available
244,AERONAUTICAL JOURNAL,999,0.976,0.001030,0.209
245,COMPTES RENDUS MECANIQUE,"1,376",0.966,0.001900,0.387
246,JOURNAL OF AIRCRAFT,"6,355",0.963,0.004400,0.352
247,Nuclear Science and Techniques,754,0.961,0.002330,0.257
248,APPLIED RHEOLOGY,402,0.959,0.000280,0.168
249,NUCLEAR TECHNOLOGY,"2,270",0.953,0.002760,0.357
250,International Journal of Optomechatronics,169,0.947,0.000270,0.235
251,REGULAR & CHAOTIC DYNAMICS,716,0.933,0.001730,0.494
252,JOURNAL OF PRESSURE VESSEL TECHNOLOGY-TRANSACTIONS OF THE ASME,"2,143",0.925,0.001560,0.197
253,AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,708,0.924,0.000880,0.185
254,International Journal of Surface Science and Engineering,239,0.918,0.000220,0.102
255,Journal of Applied Fluid Mechanics,850,0.914,0.001220,0.128
256,Journal of Engineering Thermophysics,322,0.881,0.000460,0.174
257,MECHANICAL ENGINEERING,"1,156",0.871,0.000370,0.098
258,International Journal of Aeroacoustics,473,0.866,0.000780,0.356
259,INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES,307,0.863,0.000300,0.128
260,INTERNATIONAL JOURNAL OF THERMOPHYSICS,"3,861",0.853,0.002830,0.218
261,Advances in Applied Mathematics and Mechanics,497,0.844,0.001190,0.316
262,RADIATION PROTECTION DOSIMETRY,"5,756",0.831,0.005460,0.221
263,TRANSACTIONS OF THE JAPAN SOCIETY FOR AERONAUTICAL AND SPACE SCIENCES,320,0.828,0.000730,0.255
264,COMBUSTION EXPLOSION AND SHOCK WAVES,"2,009",0.825,0.001130,0.186
265,QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS,"1,268",0.800,0.000490,0.324
266,Journal of Aerospace Information Systems,236,0.787,0.000680,0.233
267,EXPERIMENTAL TECHNIQUES,806,0.779,0.001050,0.223
268,Journal of Theoretical and Applied Mechanics,962,0.771,0.001190,0.179
269,Mechanics & Industry,460,0.747,0.000790,0.158
270,INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,701,0.741,0.000640,0.210
271,Fluid Dynamics,"1,300",0.729,0.000990,0.177
272,Iranian Journal of Science and Technology-Transactions of Mechanical Engineering,133,0.727,0.000260,0.124
273,Proceedings of the Institution of Mechanical Engineers Part P-Journal of Sports Engineering and Technology,249,0.721,0.000340,0.173
274,Transactions of FAMENA,154,0.704,0.000170,0.081
275,MECHANICS OF COMPOSITE MATERIALS,"1,440",0.703,0.000590,0.122
276,COSMIC RESEARCH,653,0.699,0.000500,0.147
277,CHINA OCEAN ENGINEERING,555,0.693,0.000680,0.141
278,Journal of Thermal Science and Technology,272,0.686,0.000300,0.137
279,INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS,"1,197",0.684,0.001550,0.107
280,Thermophysics and Aeromechanics,545,0.682,0.000820,0.145
